                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.78543,                 1.8141,                0.86793,                 1.2446,                0.98201,                0.97222,                0.99368,                0.84026,                0.98201,                0.97222,                0.97193,                0.80038,                0.52908,                0.92657,                0.54493,                 1.0643,             0.00044555,             0.00044555,             0.00044555
                     35,                0.66429,                 1.4538,                0.71562,                 1.1493,                0.96684,                0.96154,                  0.988,                0.84294,                0.96684,                0.96154,                0.97114,                 0.8119,                0.47397,                0.75066,                0.49567,                 1.0387,              0.0004439,              0.0004439,              0.0004439
                     36,                0.71954,                 1.5873,                0.76366,                  1.154,                0.94059,                0.97186,                0.95202,                0.80005,                0.94059,                0.97186,                0.93161,                0.78663,                0.47697,                0.67781,                0.44718,                 1.0341,             0.00044225,             0.00044225,             0.00044225
                     37,                0.75169,                  1.475,                0.75036,                 1.1756,                0.98787,                0.97222,                0.97232,                0.81877,                0.98787,                0.97222,                0.97232,                0.81566,                0.49581,                0.64786,                0.40101,                 1.0443,              0.0004406,              0.0004406,              0.0004406
                     38,                0.68398,                 1.4323,                0.77155,                 1.1278,                0.98823,                0.97222,                0.97273,                0.82288,                0.98823,                0.97222,                0.97273,                0.79762,                0.52132,                0.66099,                0.38716,                 1.0754,             0.00043895,             0.00043895,             0.00043895
                     39,                0.70677,                 1.4714,                0.69797,                 1.1428,                0.97928,                0.99669,                  0.995,                0.82698,                0.95252,                0.96933,                0.96726,                0.78471,                0.53286,                  0.847,                0.49748,                 1.0911,              0.0004373,              0.0004373,              0.0004373
                     40,                0.69498,                 1.4661,                0.71799,                 1.1391,                0.98946,                0.99688,                  0.995,                0.87173,                0.96118,                0.96999,                0.96531,                0.83232,                0.48839,                 1.1192,                0.47483,                 1.0235,             0.00043565,             0.00043565,             0.00043565
                     41,                0.76573,                 1.6633,                0.74892,                 1.1819,                0.82671,                0.97222,                0.97486,                0.83629,                0.82671,                0.97222,                0.95742,                0.79252,                0.52096,                0.83365,                0.55052,                 1.0775,               0.000434,               0.000434,               0.000434
                     42,                 0.7859,                  1.636,                0.81865,                 1.2053,                0.85867,                0.96295,                0.94344,                0.77785,                0.85867,                0.96295,                0.94344,                0.77878,                0.62112,                0.74626,                0.54655,                 1.1667,             0.00043235,             0.00043235,             0.00043235
                     43,                0.77971,                 1.7158,                0.83388,                 1.2014,                0.91341,                0.96607,                0.96631,                0.80383,                0.91341,                0.96607,                0.96446,                0.79693,                0.51653,                0.64511,                0.50624,                  1.074,              0.0004307,              0.0004307,              0.0004307
                     44,                0.78148,                 1.8272,                0.82405,                  1.182,                0.93214,                0.97222,                0.96431,                0.82627,                0.93214,                0.97222,                0.96431,                0.82704,                 0.5298,                 0.7088,                0.50374,                 1.0659,             0.00042905,             0.00042905,             0.00042905
                     45,                0.78277,                 1.6486,                0.80011,                 1.1908,                 0.9821,                0.97174,                 0.9775,                 0.8328,                 0.9821,                0.97174,                0.97096,                0.78862,                 0.4768,                0.76679,                0.48849,                 1.0339,              0.0004274,              0.0004274,              0.0004274
                     46,                0.73225,                 1.6175,                0.76715,                 1.1534,                0.84739,                 0.9585,                0.95704,                0.85686,                0.82341,                0.93199,                0.90362,                0.77274,                 0.4889,                0.73188,                0.51893,                 1.0452,             0.00042575,             0.00042575,             0.00042575
                     47,                0.71995,                 1.4961,                0.86684,                 1.1569,                0.98601,                0.97222,                0.97044,                0.86481,                0.98601,                0.97222,                0.97044,                 0.8383,                 0.5214,                0.70836,                0.58394,                 1.0679,              0.0004241,              0.0004241,              0.0004241
                     48,                0.77326,                 1.5748,                0.80554,                 1.1852,                 0.9882,                0.97065,                0.97849,                0.87151,                 0.9882,                0.97065,                0.97389,                 0.8291,                0.48873,                0.61209,                0.45604,                 1.0884,             0.00042245,             0.00042245,             0.00042245
                     49,                 0.6729,                 1.5013,                0.77334,                 1.1494,                0.97015,                0.97222,                0.97198,                 0.8468,                0.97015,                0.97222,                0.97198,                0.78636,                 0.4858,                0.60563,                0.47476,                 1.0662,              0.0004208,              0.0004208,              0.0004208
                     50,                0.65412,                 1.2965,                0.74491,                 1.1286,                0.95892,                0.97222,                0.98406,                0.79297,                0.95892,                0.97222,                0.97277,                0.77209,                0.52918,                0.61787,                0.52463,                  1.059,             0.00041915,             0.00041915,             0.00041915
                     51,                0.63602,                 1.4619,                0.71823,                 1.0964,                0.99221,                0.97222,                0.97978,                0.85152,                0.99221,                0.97222,                0.97364,                0.81685,                0.48879,                0.78637,                0.44698,                 1.0382,              0.0004175,              0.0004175,              0.0004175
                     52,                0.66858,                 1.5929,                0.76073,                 1.1193,                0.99046,                0.97222,                0.97833,                 0.8322,                0.99046,                0.97222,                0.97353,                0.83069,                0.46942,                0.67449,                0.43278,                 1.0305,             0.00041585,             0.00041585,             0.00041585
