                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    216,                0.37146,                0.96754,                0.39183,                0.95294,                0.94037,                0.97222,                0.94963,                0.89707,                0.94037,                0.97222,                0.94963,                0.83918,                0.32609,                0.65009,                0.30969,                 0.9001,             0.00014525,             0.00014525,             0.00014525
                    217,                0.39205,                0.87124,                0.41227,                0.94293,                0.94014,                0.97222,                0.94963,                0.90255,                0.94014,                0.97222,                0.94963,                0.83862,                0.31539,                0.66397,                0.32216,                0.88992,              0.0001436,              0.0001436,              0.0001436
                    218,                  0.391,                0.99196,                0.37081,                0.96229,                0.94021,                0.97222,                0.95709,                0.89801,                0.94021,                0.97222,                0.95709,                0.84594,                0.31145,                0.68591,                0.32622,                0.88803,             0.00014195,             0.00014195,             0.00014195
                    219,                0.41049,                0.82182,                0.38516,                0.97392,                0.94015,                0.97222,                0.95662,                 0.9021,                0.94015,                0.97222,                0.95662,                0.84449,                0.33377,                0.69718,                 0.3229,                0.90322,              0.0001403,              0.0001403,              0.0001403
                    220,                0.42329,                 1.0512,                 0.4158,                0.95903,                0.93965,                0.97222,                0.95582,                0.89452,                0.93965,                0.97222,                0.95582,                0.84374,                0.34097,                0.70061,                0.31739,                0.92186,             0.00013865,             0.00013865,             0.00013865
                    221,                0.38265,                0.83692,                0.37683,                0.93898,                0.93973,                0.97222,                0.96145,                0.90502,                0.93973,                0.97222,                0.96145,                 0.8427,                0.31529,                0.65092,                0.30589,                0.90269,               0.000137,               0.000137,               0.000137
                    222,                0.42235,                 0.9703,                 0.4006,                0.96468,                0.93927,                0.97222,                0.96121,                0.92222,                0.93927,                0.97222,                0.96121,                0.84043,                 0.3077,                0.58891,                0.29363,                0.88814,             0.00013535,             0.00013535,             0.00013535
                    223,                0.44178,                0.98267,                0.40507,                0.98836,                0.93883,                0.97222,                0.96185,                0.92333,                0.93883,                0.97222,                0.96185,                0.83872,                0.30198,                0.57488,                 0.2918,                0.88045,              0.0001337,              0.0001337,              0.0001337
                    224,                0.40101,                 1.0581,                0.38008,                0.97029,                0.93938,                0.97222,                0.94077,                0.89477,                0.93938,                0.97222,                0.94077,                0.81678,                0.32112,                0.65001,                0.32055,                0.89372,             0.00013205,             0.00013205,             0.00013205
                    225,                0.38752,                0.88192,                0.40375,                0.94754,                0.93922,                0.97222,                0.93407,                0.87356,                0.93922,                0.97222,                0.93407,                0.82127,                0.34095,                0.71187,                0.32839,                0.90523,              0.0001304,              0.0001304,              0.0001304
                    226,                0.40467,                 1.0062,                0.38455,                0.95684,                0.93992,                0.97222,                0.92713,                0.87781,                0.93992,                0.97222,                0.92713,                0.81764,                0.34167,                0.78115,                0.31955,                0.90736,             0.00012875,             0.00012875,             0.00012875
                    227,                0.39055,                0.99287,                0.38401,                0.96959,                0.94012,                0.97222,                0.94193,                0.90361,                0.94012,                0.97222,                0.94193,                0.83589,                0.33294,                0.78009,                0.30857,                0.90288,              0.0001271,              0.0001271,              0.0001271
                    228,                 0.3906,                0.99452,                0.36077,                 0.9596,                 0.9403,                0.97222,                0.97051,                0.92864,                 0.9403,                0.97222,                0.97051,                0.87006,                0.33084,                0.72345,                0.30798,                0.90778,             0.00012545,             0.00012545,             0.00012545
                    229,                0.36239,                0.90307,                0.35391,                0.94171,                0.94028,                0.97222,                0.97216,                0.92617,                0.94028,                0.97222,                0.97216,                0.86851,                0.33046,                 0.6806,                0.29315,                0.90556,              0.0001238,              0.0001238,              0.0001238
                    230,                0.38621,                 1.0423,                0.36677,                0.99543,                0.94215,                0.97222,                 0.9785,                0.92371,                0.94215,                0.97222,                 0.9785,                0.87531,                0.32854,                0.74919,                 0.2875,                0.89878,             0.00012215,             0.00012215,             0.00012215
                    231,                0.39806,                0.95896,                0.40725,                 0.9665,                0.94173,                0.97222,                0.97883,                0.91659,                0.94173,                0.97222,                0.97883,                0.88073,                0.32728,                0.62765,                0.28363,                0.89956,              0.0001205,              0.0001205,              0.0001205
                    232,                0.37921,                0.95329,                0.35475,                0.96466,                0.94241,                0.97222,                0.97956,                0.91144,                0.94241,                0.97222,                0.97956,                0.87586,                0.31804,                0.59179,                0.26962,                0.89744,             0.00011885,             0.00011885,             0.00011885
                    233,                0.39722,                0.95241,                0.39009,                0.94627,                 0.9427,                0.97222,                0.97956,                0.91876,                 0.9427,                0.97222,                0.97956,                0.87687,                0.33222,                0.59839,                0.25953,                0.90014,              0.0001172,              0.0001172,              0.0001172
                    234,                0.37024,                 0.8559,                0.35594,                0.92567,                0.93924,                0.97222,                0.97251,                0.91865,                0.93924,                0.97222,                0.97251,                0.87292,                0.33303,                0.65609,                0.26183,                0.90366,             0.00011555,             0.00011555,             0.00011555
                    235,                0.37491,                0.76319,                0.36513,                0.93891,                0.93871,                0.97222,                0.97251,                0.91248,                0.93871,                0.97222,                0.97251,                0.86894,                0.32087,                0.69823,                 0.2647,                0.89774,              0.0001139,              0.0001139,              0.0001139
                    236,                0.36914,                0.88872,                 0.3705,                0.93237,                0.93911,                0.97222,                0.97216,                0.91709,                0.93911,                0.97222,                0.97216,                0.87363,                0.31603,                0.71821,                0.28869,                0.89866,             0.00011225,             0.00011225,             0.00011225
                    237,                0.37692,                0.93537,                0.33356,                0.95276,                0.93945,                0.97222,                0.95072,                0.89779,                0.93945,                0.97222,                0.95072,                0.84594,                0.31566,                0.74674,                0.30942,                 0.9023,              0.0001106,              0.0001106,              0.0001106
                    238,                0.36452,                0.82618,                0.41401,                0.91932,                0.91424,                0.97222,                0.93625,                0.87636,                0.91424,                0.97222,                0.93625,                0.81782,                0.32436,                0.74815,                0.33812,                0.90256,             0.00010895,             0.00010895,             0.00010895
                    239,                0.38639,                 1.0253,                0.37981,                0.94709,                0.90851,                0.97222,                0.91154,                0.85376,                0.90851,                0.97222,                0.91154,                0.78882,                0.34268,                 0.7164,                0.37213,                 0.9095,              0.0001073,              0.0001073,              0.0001073
                    240,                0.38789,                 1.1716,                0.39651,                0.96025,                0.90885,                0.97222,                0.92071,                0.85702,                0.90885,                0.97222,                0.92071,                0.79301,                0.35014,                0.68754,                0.35789,                0.91085,             0.00010565,             0.00010565,             0.00010565
                    241,                0.38808,                0.99811,                0.37555,                0.96216,                 0.9117,                0.97222,                0.92213,                0.86035,                 0.9117,                0.97222,                0.92213,                0.79426,                0.34232,                0.70502,                0.33863,                0.91168,               0.000104,               0.000104,               0.000104
                    242,                0.39023,                0.97019,                0.35625,                0.93952,                0.91033,                0.97222,                0.92046,                0.86107,                0.91033,                0.97222,                0.92046,                0.80314,                0.32891,                 0.7082,                0.31353,                0.90511,             0.00010235,             0.00010235,             0.00010235
                    243,                 0.3858,                0.94364,                0.37195,                0.95618,                0.90856,                0.97222,                0.92076,                0.86068,                0.90856,                0.97222,                0.92076,                0.81436,                0.31981,                0.70051,                0.30041,                0.90208,              0.0001007,              0.0001007,              0.0001007
                    244,                0.38368,                 1.0701,                 0.4192,                0.94091,                0.93714,                0.97222,                0.92061,                0.86628,                0.93714,                0.97222,                0.92061,                0.81255,                0.31101,                0.69924,                  0.287,                0.89536,              9.905e-05,              9.905e-05,              9.905e-05
                    245,                0.38186,                 1.0056,                0.43491,                0.95642,                 0.9377,                0.97222,                0.94144,                0.88969,                 0.9377,                0.97222,                0.94144,                0.84369,                0.31996,                0.68955,                0.27417,                0.90438,               9.74e-05,               9.74e-05,               9.74e-05
                    246,                0.36575,                0.87239,                0.35286,                0.92168,                0.93891,                0.97222,                0.92771,                0.87189,                0.93891,                0.97222,                0.92771,                0.80999,                0.32771,                0.73747,                0.30525,                0.90804,              9.575e-05,              9.575e-05,              9.575e-05
                    247,                0.37047,                0.83903,                0.37275,                0.93694,                0.93983,                0.97222,                 0.9211,                0.87014,                0.93983,                0.97222,                 0.9211,                0.80935,                0.31712,                0.77798,                0.31374,                0.89942,               9.41e-05,               9.41e-05,               9.41e-05
                    248,                0.35556,                0.90456,                0.36111,                0.93899,                0.94007,                0.97222,                0.92006,                0.86756,                0.94007,                0.97222,                0.92006,                0.80614,                0.30061,                0.79417,                0.30603,                0.89016,              9.245e-05,              9.245e-05,              9.245e-05
                    249,                0.39823,                0.95064,                0.35741,                0.94314,                0.94038,                0.97222,                0.92645,                0.88065,                0.94038,                0.97222,                0.92645,                0.80472,                0.29327,                0.78609,                0.30335,                0.88529,               9.08e-05,               9.08e-05,               9.08e-05
                    250,                0.39282,                0.96406,                0.38399,                0.98106,                0.93981,                0.97222,                0.92592,                0.88849,                0.93981,                0.97222,                0.92592,                0.81242,                0.29714,                0.77349,                0.30739,                 0.8871,              8.915e-05,              8.915e-05,              8.915e-05
                    251,                0.39892,                 1.0214,                0.39163,                0.96009,                0.93977,                0.97222,                0.91848,                0.88403,                0.93977,                0.97222,                0.91848,                  0.802,                0.30037,                 0.7939,                0.31742,                0.88595,               8.75e-05,               8.75e-05,               8.75e-05
                    252,                 0.3903,                 0.8901,                 0.3814,                0.95767,                0.93947,                0.97222,                0.92531,                0.86806,                0.93947,                0.97222,                0.92531,                0.79813,                0.32099,                0.83248,                0.32199,                0.89755,              8.585e-05,              8.585e-05,              8.585e-05
                    253,                0.37846,                0.99924,                0.35923,                 0.9567,                0.93781,                0.97222,                0.92569,                0.87008,                0.93781,                0.97222,                0.92569,                0.80538,                0.32948,                0.86916,                0.33801,                0.90037,               8.42e-05,               8.42e-05,               8.42e-05
                    254,                0.36884,                0.87724,                0.38573,                 0.9538,                0.93799,                0.97222,                  0.926,                0.86402,                0.93799,                0.97222,                  0.926,                0.79334,                0.33048,                0.76827,                0.32995,                0.89795,              8.255e-05,              8.255e-05,              8.255e-05
                    255,                0.37523,                0.95343,                0.37973,                0.90996,                0.93942,                0.97222,                0.95333,                0.89381,                0.93942,                0.97222,                0.95333,                0.82213,                0.33598,                0.75203,                0.32896,                0.90084,               8.09e-05,               8.09e-05,               8.09e-05
                    256,                0.37112,                0.87474,                0.33203,                0.95087,                0.93996,                0.97222,                0.96036,                0.89426,                0.93996,                0.97222,                0.96036,                0.83853,                0.33016,                0.73131,                0.31904,                0.89777,              7.925e-05,              7.925e-05,              7.925e-05
                    257,                0.35864,                 1.0411,                0.34028,                 0.9431,                0.94014,                0.97222,                0.96783,                0.90528,                0.94014,                0.97222,                0.96783,                0.84853,                0.31715,                0.74328,                0.29454,                0.89719,               7.76e-05,               7.76e-05,               7.76e-05
                    258,                 0.3451,                0.77958,                0.31543,                0.93371,                0.94119,                0.97222,                0.97499,                0.90191,                0.94119,                0.97222,                0.97499,                0.85193,                 0.3141,                0.70443,                0.27894,                0.89829,              7.595e-05,              7.595e-05,              7.595e-05
                    259,                0.37746,                   0.95,                0.38512,                0.96874,                0.94259,                0.97222,                0.97522,                0.90746,                0.94259,                0.97222,                0.97522,                0.84253,                 0.3156,                0.69484,                0.27207,                0.89593,               7.43e-05,               7.43e-05,               7.43e-05
                    260,                0.35229,                0.82435,                0.36802,                0.94233,                0.94083,                0.97222,                0.97425,                0.90612,                0.94083,                0.97222,                0.97425,                0.84179,                0.30929,                0.69737,                0.26959,                0.88769,              7.265e-05,              7.265e-05,              7.265e-05
                    261,                0.38459,                 1.0645,                0.38742,                0.94602,                0.94228,                0.97222,                0.97588,                0.91534,                0.94228,                0.97222,                0.97588,                0.84205,                0.30486,                0.70054,                0.26689,                0.88364,                7.1e-05,                7.1e-05,                7.1e-05
                    262,                0.33032,                0.82689,                0.32968,                0.91824,                0.94082,                0.97222,                0.97574,                0.91562,                0.94082,                0.97222,                0.97574,                0.83234,                0.29691,                0.71222,                0.26334,                0.88173,              6.935e-05,              6.935e-05,              6.935e-05
                    263,                0.39051,                0.90058,                0.38354,                0.96082,                0.94097,                0.97222,                 0.9782,                0.93437,                0.94097,                0.97222,                 0.9782,                0.83846,                0.29251,                 0.7103,                0.26087,                0.87539,               6.77e-05,               6.77e-05,               6.77e-05
                    264,                 0.3823,                0.94874,                0.37516,                0.94479,                0.93984,                0.97222,                0.97029,                0.91319,                0.93984,                0.97222,                0.97029,                0.84139,                0.28641,                0.76206,                 0.2752,                0.87356,              6.605e-05,              6.605e-05,              6.605e-05
                    265,                0.34683,                0.90903,                0.32821,                0.91655,                 0.9401,                0.97222,                0.97051,                 0.9152,                 0.9401,                0.97222,                0.97051,                0.83902,                0.28572,                0.80686,                0.28012,                0.87798,               6.44e-05,               6.44e-05,               6.44e-05
                    266,                0.37444,                0.89819,                0.39163,                0.95666,                0.93981,                0.97222,                0.97604,                0.91472,                0.93981,                0.97222,                0.97604,                0.84898,                0.28554,                0.82516,                0.27812,                0.88114,              6.275e-05,              6.275e-05,              6.275e-05
                    267,                0.34867,                0.83377,                0.33857,                0.94622,                0.94007,                0.97222,                0.97717,                0.93499,                0.94007,                0.97222,                0.97717,                 0.8402,                0.28452,                0.83026,                0.27331,                0.88085,               6.11e-05,               6.11e-05,               6.11e-05
                    268,                0.32656,                0.81359,                0.32312,                0.90464,                0.94084,                0.97222,                0.97765,                0.93749,                0.94084,                0.97222,                0.97765,                0.84955,                0.28507,                0.80766,                0.27363,                0.88029,              5.945e-05,              5.945e-05,              5.945e-05
                    269,                0.33516,                 0.9024,                0.30776,                0.92893,                0.94231,                0.97222,                0.97765,                0.94685,                0.94231,                0.97222,                0.97765,                0.86751,                0.29042,                 0.7733,                0.26834,                0.88352,               5.78e-05,               5.78e-05,               5.78e-05
                    270,                0.36234,                0.86479,                0.35288,                0.93473,                0.94215,                0.97222,                 0.9774,                0.94258,                0.94215,                0.97222,                 0.9774,                 0.8625,                0.29539,                 0.7627,                  0.271,                0.88589,              5.615e-05,              5.615e-05,              5.615e-05
                    271,                0.33433,                 0.8211,                0.29957,                0.92251,                 0.9429,                0.97222,                0.97717,                 0.9495,                 0.9429,                0.97222,                0.97717,                 0.8685,                0.30357,                0.71857,                0.28102,                0.89176,               5.45e-05,               5.45e-05,               5.45e-05
                    272,                0.34359,                0.86628,                0.33748,                0.91708,                0.94266,                0.97222,                 0.9774,                0.94659,                0.94266,                0.97222,                 0.9774,                0.86845,                 0.3063,                0.71784,                0.26736,                0.89194,              5.285e-05,              5.285e-05,              5.285e-05
                    273,                0.34803,                0.78317,                0.31535,                0.93103,                0.94289,                0.97222,                 0.9774,                0.94669,                0.94289,                0.97222,                 0.9774,                0.86683,                0.30467,                0.72612,                0.26677,                 0.8902,               5.12e-05,               5.12e-05,               5.12e-05
                    274,                0.35111,                0.92045,                0.33206,                0.94403,                0.94228,                0.97222,                 0.9774,                 0.9508,                0.94228,                0.97222,                 0.9774,                0.86087,                0.29882,                0.73144,                0.26563,                0.88617,              4.955e-05,              4.955e-05,              4.955e-05
                    275,                0.31881,                0.69353,                0.34013,                0.89663,                0.94203,                0.97222,                0.97675,                0.95479,                0.94203,                0.97222,                0.97675,                0.85996,                0.29184,                0.72962,                0.25757,                0.88218,               4.79e-05,               4.79e-05,               4.79e-05
                    276,                0.36748,                0.90442,                 0.3227,                0.95824,                0.94162,                0.97222,                0.97637,                0.94448,                0.94162,                0.97222,                0.97637,                0.85868,                0.28456,                0.74144,                0.25473,                0.87763,              4.625e-05,              4.625e-05,              4.625e-05
                    277,                0.33156,                0.82211,                0.32781,                0.91003,                 0.9401,                0.97222,                0.97765,                0.94612,                 0.9401,                0.97222,                0.97765,                0.85147,                0.28559,                0.73974,                0.26357,                0.87602,               4.46e-05,               4.46e-05,               4.46e-05
                    278,                 0.3511,                0.95781,                0.34448,                0.92824,                0.93957,                0.97222,                0.97956,                0.94316,                0.93957,                0.97222,                0.97956,                0.85225,                0.28851,                0.76598,                0.26159,                0.87801,              4.295e-05,              4.295e-05,              4.295e-05
                    279,                 0.3468,                0.79903,                0.31562,                0.92846,                0.93945,                0.97222,                0.97918,                0.94259,                0.93945,                0.97222,                0.97918,                0.85635,                0.29051,                0.78968,                0.26606,                0.87994,               4.13e-05,               4.13e-05,               4.13e-05
                    280,                0.33827,                0.87987,                0.32792,                0.93786,                0.93909,                0.97222,                 0.9729,                0.93828,                0.93909,                0.97222,                 0.9729,                0.85015,                0.29436,                0.78311,                0.26961,                0.88274,              3.965e-05,              3.965e-05,              3.965e-05
                    281,                0.34881,                 0.8772,                0.34531,                0.94441,                0.93904,                0.97222,                 0.9729,                0.93643,                0.93904,                0.97222,                 0.9729,                0.85041,                0.29123,                0.80352,                0.27732,                0.88219,                3.8e-05,                3.8e-05,                3.8e-05
                    282,                 0.3517,                0.78858,                0.31683,                0.92253,                0.93942,                0.97222,                0.97216,                0.93674,                0.93942,                0.97222,                0.97216,                0.83811,                 0.2905,                 0.8162,                0.28167,                0.88477,              3.635e-05,              3.635e-05,              3.635e-05
                    283,                0.33638,                0.83569,                0.31106,                0.93747,                0.93959,                0.97222,                 0.9729,                 0.9381,                0.93959,                0.97222,                 0.9729,                0.82541,                0.28403,                0.80247,                0.28572,                0.88104,               3.47e-05,               3.47e-05,               3.47e-05
                    284,                0.35503,                0.87401,                0.34467,                0.95779,                0.94026,                0.97222,                0.97251,                0.93793,                0.94026,                0.97222,                0.97251,                0.83758,                0.28246,                0.81431,                0.29695,                0.87994,              3.305e-05,              3.305e-05,              3.305e-05
                    285,                0.32696,                0.82452,                0.30676,                 0.9271,                0.94001,                0.97222,                0.97098,                0.93624,                0.94001,                0.97222,                0.97098,                0.83073,                0.28145,                0.82067,                0.30108,                0.88057,               3.14e-05,               3.14e-05,               3.14e-05
                    286,                0.31638,                0.81376,                0.32982,                0.91839,                0.93985,                0.97222,                 0.9729,                0.94078,                0.93985,                0.97222,                 0.9729,                0.84302,                0.28264,                0.81593,                0.30224,                0.87901,              2.975e-05,              2.975e-05,              2.975e-05
                    287,                0.32169,                0.79304,                0.30336,                 0.9159,                 0.9395,                0.97222,                0.97216,                0.93881,                 0.9395,                0.97222,                0.97216,                0.83894,                0.28767,                0.82351,                0.29474,                0.88034,               2.81e-05,               2.81e-05,               2.81e-05
                    288,                0.31554,                0.90169,                0.29847,                0.90413,                0.93922,                0.97222,                0.97183,                0.93823,                0.93922,                0.97222,                0.97183,                0.84539,                0.29128,                0.81504,                0.29067,                0.88407,              2.645e-05,              2.645e-05,              2.645e-05
                    289,                0.33238,                0.69304,                0.32275,                0.91357,                0.93908,                0.97222,                0.97251,                  0.926,                0.93908,                0.97222,                0.97251,                 0.8529,                 0.2921,                0.83076,                0.29608,                0.88471,               2.48e-05,               2.48e-05,               2.48e-05
                    290,                0.32065,                 0.6972,                0.30392,                0.94928,                0.93906,                0.97222,                0.97183,                0.93377,                0.93906,                0.97222,                0.97183,                0.85308,                0.29411,                0.85754,                0.29042,                0.88569,              2.315e-05,              2.315e-05,              2.315e-05
                    291,                0.21807,                0.42904,                0.22266,                0.84223,                0.93976,                0.97222,                0.95582,                 0.9059,                0.93976,                0.97222,                0.95582,                 0.8306,                0.29436,                0.90757,                0.28174,                0.88288,               2.15e-05,               2.15e-05,               2.15e-05
                    292,                0.20232,                0.42758,                0.21256,                0.83348,                 0.9397,                0.97222,                0.95565,                0.91532,                 0.9397,                0.97222,                0.95565,                0.82896,                0.29564,                0.90036,                0.28086,                0.88293,              1.985e-05,              1.985e-05,              1.985e-05
                    293,                0.21118,                0.44395,                0.21586,                0.84191,                0.93969,                0.97222,                0.96529,                0.92665,                0.93969,                0.97222,                0.96529,                  0.842,                 0.2933,                 0.8997,                0.27262,                 0.8808,               1.82e-05,               1.82e-05,               1.82e-05
                    294,                0.22284,                0.42393,                0.22102,                0.84915,                0.93967,                0.97222,                0.97125,                0.93271,                0.93967,                0.97222,                0.97125,                0.84553,                0.29531,                0.86701,                0.27545,                0.88179,              1.655e-05,              1.655e-05,              1.655e-05
                    295,                 0.2158,                0.41144,                0.22764,                0.84379,                0.93938,                0.97222,                0.97183,                0.93339,                0.93938,                0.97222,                0.97183,                0.84687,                 0.3001,                0.84457,                0.27588,                0.88429,               1.49e-05,               1.49e-05,               1.49e-05
                    296,                0.19881,                0.42028,                0.20496,                0.82664,                0.93928,                0.97222,                0.97251,                0.93516,                0.93928,                0.97222,                0.97251,                0.84962,                0.29946,                0.82157,                0.28106,                 0.8818,              1.325e-05,              1.325e-05,              1.325e-05
                    297,                0.20827,                0.40637,                0.20807,                0.83963,                0.93954,                0.97222,                 0.9729,                0.93579,                0.93954,                0.97222,                 0.9729,                0.85109,                0.29651,                0.81874,                0.28094,                0.87818,               1.16e-05,               1.16e-05,               1.16e-05
                    298,                0.21122,                0.40333,                0.21974,                0.84689,                0.93953,                0.97222,                0.97251,                0.93437,                0.93953,                0.97222,                0.97251,                0.85064,                0.29881,                0.81227,                0.27952,                0.87764,               9.95e-06,               9.95e-06,               9.95e-06
                    299,                0.20401,                0.40428,                 0.2009,                0.83468,                0.93933,                0.97222,                 0.9729,                0.93464,                0.93933,                0.97222,                 0.9729,                0.85532,                0.29502,                0.81653,                0.27622,                  0.876,                8.3e-06,                8.3e-06,                8.3e-06
                    300,                 0.1974,                0.41027,                0.19369,                0.82915,                0.93931,                0.97222,                 0.9729,                0.93727,                0.93931,                0.97222,                 0.9729,                0.84612,                0.29551,                0.81315,                0.27254,                0.87689,               6.65e-06,               6.65e-06,               6.65e-06
